Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ADMIN,Chrome 103.0.5060.114,,,2022-07-20 13:54:18,2022-07-20 14:25:08,30m - 49.338s,FAILED
,,,,,,,
Test Cases/ADMIN/AUTH/Positif/TC_LoginPositif,Chrome 103.0.5060.114,,,2022-07-20 13:54:19,2022-07-20 13:54:31,12.275s,PASSED
"openBrowser(""https://dev-getvaccine-16.netlify.app/admin/"")",Chrome 103.0.5060.114,,,2022-07-20 13:54:20,2022-07-20 13:54:26,6.531s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-20 13:54:26,2022-07-20 13:54:26,0.211s,PASSED
"verifyElementPresent(findTestObject(""ADMIN/Adm-Login/verify login page""), 0)",Chrome 103.0.5060.114,,,2022-07-20 13:54:26,2022-07-20 13:54:27,1.042s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/username""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:27,2022-07-20 13:54:28,0.488s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/username""), ""harnanda"")",Chrome 103.0.5060.114,,,2022-07-20 13:54:28,2022-07-20 13:54:29,0.973s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/password""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:29,2022-07-20 13:54:29,0.503s,PASSED
"setText(findTestObject(""ADMIN/Adm-Login/password""), ""haha"")",Chrome 103.0.5060.114,,,2022-07-20 13:54:29,2022-07-20 13:54:30,0.779s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/eye""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:30,2022-07-20 13:54:31,0.466s,PASSED
"click(findTestObject(""ADMIN/Adm-Login/btn login""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:31,2022-07-20 13:54:31,0.558s,PASSED
,,,,,,,
Test Cases/ADMIN/OVERVIEW/TC_Search,Chrome 103.0.5060.114,,,2022-07-20 13:54:31,2022-07-20 13:54:57,25.710s,PASSED
"for ([i = 1, i <= 2, (i++)])",Chrome 103.0.5060.114,,,2022-07-20 13:54:32,2022-07-20 13:54:57,24.998s,PASSED
,,,,,,,
Test Cases/ADMIN/KELOLA SESI/Negatif/TCT01_Tambah Sesi Without fill one field,Chrome 103.0.5060.114,,,2022-07-20 13:54:57,2022-07-20 13:55:11,14.363s,PASSED
"click(findTestObject(""Page_Dashboard Admin  GetVaccine/a_Overview""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:58,2022-07-20 13:54:58,0.406s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Kelola Sesi""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:58,2022-07-20 13:54:59,0.542s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_Tambah Data""))",Chrome 103.0.5060.114,,,2022-07-20 13:54:59,2022-07-20 13:55:02,3.403s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_MODERNA""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:02,2022-07-20 13:55:05,3.151s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Tanggal Sesi_vaccination_date""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:05,2022-07-20 13:55:06,0.580s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_20""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:06,2022-07-20 13:55:06,0.604s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Jam Mulai Sesi_operational_hour_start""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:06,2022-07-20 13:55:07,0.580s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_07""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:07,2022-07-20 13:55:07,0.522s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_OK""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:07,2022-07-20 13:55:08,0.512s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Jam Selesai Sesi_operational_hour_end""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:08,2022-07-20 13:55:09,0.727s,PASSED
"setText(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/input_Kuota_quota""), ""100"")",Chrome 103.0.5060.114,,,2022-07-20 13:55:09,2022-07-20 13:55:10,0.864s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_Tambah Sesi""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:10,2022-07-20 13:55:10,0.680s,PASSED
"verifyElementPresent(findTestObject(""Page_Kelola Sesi  GetVaccine/alert jam sesi harus diisi""), 0)",Chrome 103.0.5060.114,,,2022-07-20 13:55:10,2022-07-20 13:55:11,0.559s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/span_Dosis 2_ant-modal-close-x""))",Chrome 103.0.5060.114,,,2022-07-20 13:55:11,2022-07-20 13:55:11,0.532s,PASSED
,,,,,,,
Test Cases/ADMIN/KELOLA SESI/Negatif/TCT02_Tambah without fill all field,Chrome 103.0.5060.114,,,2022-07-20 13:55:11,2022-07-20 13:56:35,1m - 23.652s,PASSED
"callTestCase(findTestCase(""ADMIN/AUTH/Positif/TC_LoginPositif""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-20 13:55:12,2022-07-20 13:56:21,1m - 8.796s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Overview""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:21,2022-07-20 13:56:24,3.490s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Dashboard Admin  GetVaccine/a_Kelola Sesi""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:24,2022-07-20 13:56:25,0.500s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_Tambah Data""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:25,2022-07-20 13:56:31,6.409s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/button_Tambah Sesi""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:31,2022-07-20 13:56:32,0.635s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_Jenis vaksin harus diisi""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:32,2022-07-20 13:56:32,0.670s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_Tanggal sesi harus diisi""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:32,2022-07-20 13:56:33,0.514s,PASSED
"click(findTestObject(""Object Repository/ADMIN/Page_Kelola Sesi  GetVaccine/div_Jam mulai sesi harus diisi""))",Chrome 103.0.5060.114,,,2022-07-20 13:56:33,2022-07-20 13:56:34,0.533s,PASSED
