Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BOOKING,,,,2022-06-28 20:29:23,2022-06-28 20:30:08,45.237s,FAILED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB03_WITHOUT BODY,,,,2022-06-28 20:29:23,2022-06-28 20:29:44,20.620s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB03_CREATE BOOKING WITHOUT REQ BODY""))",,,,2022-06-28 20:29:24,2022-06-28 20:29:44,19.594s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-28 20:29:44,2022-06-28 20:29:44,0.038s,PASSED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB02_WITHOUT TOKEN,,,,2022-06-28 20:29:44,2022-06-28 20:29:46,2.447s,PASSED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB02_CREATE BOOKING WITHOUT TOKEN""))",,,,2022-06-28 20:29:45,2022-06-28 20:29:46,1.722s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-28 20:29:46,2022-06-28 20:29:46,0.004s,PASSED
,,,,,,,
Test Cases/API/BOOKING/CREATE NEW BOOKING/TCNB01_VALID DATA,,,,2022-06-28 20:29:46,2022-06-28 20:29:49,2.881s,FAILED
"Response = sendRequest(findTestObject(""API/BOOKING/CREATE BOOKING/TCNB01_CREATE BOOKING WITH VALID DATA""))",,,,2022-06-28 20:29:49,2022-06-28 20:29:49,0.628s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-28 20:29:49,2022-06-28 20:29:49,0.068s,FAILED
,,,,,,,
Test Cases/API/BOOKING/GET ALL BOOKING/TCB02_GET ALL BOOKING WITHOUT TOKEN,,,,2022-06-28 20:29:49,2022-06-28 20:29:52,2.616s,PASSED
