Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ALL,,,,2022-07-04 15:47:22,2022-07-04 15:49:47,2m - 24.814s,FAILED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV03_CREATE WITHOUT REQ BODY,,,,2022-07-04 15:47:23,2022-07-04 15:47:29,5.958s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCV03_CREATE WITHOUT REQUEST BODY""))",,,,2022-07-04 15:47:24,2022-07-04 15:47:29,4.868s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-07-04 15:47:29,2022-07-04 15:47:29,0.063s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV02_CREATE WITHOUT TOKEN,,,,2022-07-04 15:47:29,2022-07-04 15:47:31,1.741s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV02_CREATE WITHOUT TOKEN""))",,,,2022-07-04 15:47:30,2022-07-04 15:47:31,0.748s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-07-04 15:47:31,2022-07-04 15:47:31,0.030s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV02_GET ALL WITHOUT TOKEN,,,,2022-07-04 15:47:31,2022-07-04 15:47:32,1.358s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV02_GET WITHOUT TOKEN""))",,,,2022-07-04 15:47:32,2022-07-04 15:47:32,0.505s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-07-04 15:47:32,2022-07-04 15:47:32,0.015s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE,,,,2022-07-04 15:47:32,2022-07-04 15:47:34,2.015s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE""))",,,,2022-07-04 15:47:33,2022-07-04 15:47:34,0.593s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-07-04 15:47:34,2022-07-04 15:47:34,0.015s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV01_CREATE VALID VACCINE,,,,2022-07-04 15:47:34,2022-07-04 15:47:36,1.826s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV01_CREATE VACCINE""))",,,,2022-07-04 15:47:35,2022-07-04 15:47:36,0.666s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-07-04 15:47:36,2022-07-04 15:47:36,0.007s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-07-04 15:47:36,2022-07-04 15:47:36,0.179s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET VACCINE BY ID/TCGV02_GET INVALID ID,,,,2022-07-04 15:47:36,2022-07-04 15:47:37,1.473s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET VACCINE BY ID/TCGV02_GET VACCINE INVALID""))",,,,2022-07-04 15:47:37,2022-07-04 15:47:37,0.523s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-07-04 15:47:37,2022-07-04 15:47:37,0.010s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET VACCINE BY ID/TCGSV01_GET VALID ID,,,,2022-07-04 15:47:38,2022-07-04 15:47:40,2.469s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET VACCINE BY ID/TCGV01_GET VACCINE VALID""))",,,,2022-07-04 15:47:39,2022-07-04 15:47:40,1.332s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-07-04 15:47:40,2022-07-04 15:47:40,0.017s,PASSED
,,,,,,,
Test Cases/API/VACCINE/UPDATE VACCINE/TCUV04_UPDATE WITHOUT BODY,,,,2022-07-04 15:47:40,2022-07-04 15:47:45,5.102s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/UPDATE VACCINE/TCUV04_UPDATE WITHOUT BODY""))",,,,2022-07-04 15:47:41,2022-07-04 15:47:45,3.929s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-07-04 15:47:45,2022-07-04 15:47:45,0.020s,PASSED
,,,,,,,
Test Cases/API/VACCINE/UPDATE VACCINE/TCUV03_UPDATE WITHOUT ID,,,,2022-07-04 15:47:45,2022-07-04 15:47:48,2.528s,PASSED
