Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_CITIZEN,Chrome 103.0.5060.114,,,2022-07-19 12:52:50,2022-07-19 13:04:17,11m - 26.820s,FAILED
,,,,,,,
Test Cases/CITIZEN/AUTH/TC_Register,Chrome 103.0.5060.114,,,2022-07-19 12:52:51,2022-07-19 12:56:37,3m - 46.234s,PASSED
"for ([i = 1, i <= 6, (i++)])",Chrome 103.0.5060.114,,,2022-07-19 12:52:51,2022-07-19 12:55:58,3m - 7.017s,PASSED
"for ([i = 7, i <= 9, (i++)])",Chrome 103.0.5060.114,,,2022-07-19 12:55:58,2022-07-19 12:56:37,38.499s,PASSED
,,,,,,,
Test Cases/CITIZEN/AUTH/TC_Login,Chrome 103.0.5060.114,,,2022-07-19 12:56:37,2022-07-19 12:58:01,1m - 24.360s,PASSED
"for ([i = 1, i <= 5, (i++)])",Chrome 103.0.5060.114,,,2022-07-19 12:56:37,2022-07-19 12:58:01,1m - 23.867s,PASSED
,,,,,,,
Test Cases/CITIZEN/AUTH/Login,Chrome 103.0.5060.114,,,2022-07-19 12:58:01,2022-07-19 12:58:11,9.824s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-19 12:58:02,2022-07-19 12:58:03,1.457s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-19 12:58:03,2022-07-19 12:58:03,0.151s,PASSED
"navigateToUrl(""https://dev-getvaccine-16.netlify.app/"")",Chrome 103.0.5060.114,,,2022-07-19 12:58:03,2022-07-19 12:58:05,2.028s,PASSED
"click(findTestObject(""CITIZEN/Page_Home  GetVaccine/login btn""))",Chrome 103.0.5060.114,,,2022-07-19 12:58:05,2022-07-19 12:58:06,0.503s,PASSED
"verifyElementVisible(findTestObject(""CITIZEN/Page_Login  GetVaccine/VerifyLoginPage""))",Chrome 103.0.5060.114,,,2022-07-19 12:58:06,2022-07-19 12:58:06,0.588s,PASSED
"setText(findTestObject(""CITIZEN/Page_Login  GetVaccine/input_NIK_basic_nik""), ""7890789078907890"")",Chrome 103.0.5060.114,,,2022-07-19 12:58:06,2022-07-19 12:58:07,0.884s,PASSED
"setText(findTestObject(""CITIZEN/Page_Login  GetVaccine/input_Password_basic_password""), ""Haechan123"")",Chrome 103.0.5060.114,,,2022-07-19 12:58:07,2022-07-19 12:58:08,0.844s,PASSED
"click(findTestObject(""CITIZEN/Page_Login  GetVaccine/eye""))",Chrome 103.0.5060.114,,,2022-07-19 12:58:08,2022-07-19 12:58:09,0.428s,PASSED
"click(findTestObject(""CITIZEN/Page_Login  GetVaccine/button_Login""))",Chrome 103.0.5060.114,,,2022-07-19 12:58:09,2022-07-19 12:58:09,0.572s,PASSED
"verifyElementPresent(findTestObject(""CITIZEN/Page_Home  GetVaccine/navbar""), 0, STOP_ON_FAILURE)",Chrome 103.0.5060.114,,,2022-07-19 12:58:09,2022-07-19 12:58:11,1.873s,PASSED
,,,,,,,
Test Cases/CITIZEN/VAKSINASI/TC_Search,Chrome 103.0.5060.114,,,2022-07-19 12:58:11,2022-07-19 12:59:01,50.133s,PASSED
"for ([i = 1, i <= 7, (i++)])",Chrome 103.0.5060.114,,,2022-07-19 12:58:12,2022-07-19 12:59:01,49.472s,PASSED
,,,,,,,
Test Cases/CITIZEN/VAKSINASI/TC_Health Facility,Chrome 103.0.5060.114,,,2022-07-19 12:59:01,2022-07-19 12:59:03,1.965s,PASSED
