Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_STOCK,,,,2022-06-30 17:28:16,2022-06-30 17:28:33,17.021s,FAILED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST03_CREATE WITHOUT REQ BODY,,,,2022-06-30 17:28:17,2022-06-30 17:28:21,3.760s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-30 17:28:17,2022-06-30 17:28:21,3.048s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:28:21,2022-06-30 17:28:21,0.035s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST02_CREATE WITHOUT TOKEN,,,,2022-06-30 17:28:21,2022-06-30 17:28:22,1.181s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST02_CREATE WITHOUT TOKEN""))",,,,2022-06-30 17:28:21,2022-06-30 17:28:22,0.645s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:28:22,2022-06-30 17:28:22,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST01_CREATE VALID STOCK,,,,2022-06-30 17:28:22,2022-06-30 17:28:23,1.068s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST01_CREATE STOCK""))",,,,2022-06-30 17:28:22,2022-06-30 17:28:23,0.452s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:28:23,2022-06-30 17:28:23,0.015s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 17:28:23,2022-06-30 17:28:23,0.092s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST02_GET ALL WITHOUT TOKEN,,,,2022-06-30 17:28:23,2022-06-30 17:28:24,0.878s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST02_GET WITHOUT TOKEN""))",,,,2022-06-30 17:28:23,2022-06-30 17:28:24,0.370s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:28:24,2022-06-30 17:28:24,0.016s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK,,,,2022-06-30 17:28:24,2022-06-30 17:28:25,0.937s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK""))",,,,2022-06-30 17:28:24,2022-06-30 17:28:25,0.434s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:28:25,2022-06-30 17:28:25,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST02_GET INVALID ID,,,,2022-06-30 17:28:25,2022-06-30 17:28:26,0.992s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST02_GET STOCK INVALID""))",,,,2022-06-30 17:28:25,2022-06-30 17:28:26,0.418s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:28:26,2022-06-30 17:28:26,0.015s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST01_GET VALID ID,,,,2022-06-30 17:28:26,2022-06-30 17:28:27,1.303s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST01_GET STOCK VALID""))",,,,2022-06-30 17:28:26,2022-06-30 17:28:27,0.664s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:28:27,2022-06-30 17:28:27,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST04_UPDATE WITHOUT BODY,,,,2022-06-30 17:28:27,2022-06-30 17:28:28,0.991s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/UPDATE STOCK/TCUS04_UPDATE WITHOUT BODY""))",,,,2022-06-30 17:28:28,2022-06-30 17:28:28,0.441s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:28:28,2022-06-30 17:28:28,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/UPDATE STOCK/TCUST03_UPDATE WITHOUT ID,,,,2022-06-30 17:28:28,2022-06-30 17:28:29,1.163s,PASSED
