Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_VACCINE,,,,2022-06-30 21:29:04,2022-06-30 21:29:32,27.940s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV03_CREATE WITHOUT REQ BODY,,,,2022-06-30 21:29:04,2022-06-30 21:29:10,5.815s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCV03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-30 21:29:06,2022-06-30 21:29:10,4.573s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 21:29:10,2022-06-30 21:29:10,0.049s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV02_CREATE WITHOUT TOKEN,,,,2022-06-30 21:29:10,2022-06-30 21:29:12,1.725s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV02_CREATE WITHOUT TOKEN""))",,,,2022-06-30 21:29:11,2022-06-30 21:29:12,0.836s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:29:12,2022-06-30 21:29:12,0.015s,PASSED
,,,,,,,
Test Cases/API/VACCINE/CREATE VACCINE/TCNV01_CREATE VALID VACCINE,,,,2022-06-30 21:29:12,2022-06-30 21:29:14,1.806s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/CREATE NEW VACCINE/TCNV01_CREATE VACCINE""))",,,,2022-06-30 21:29:13,2022-06-30 21:29:14,0.690s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:29:14,2022-06-30 21:29:14,0.008s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 21:29:14,2022-06-30 21:29:14,0.271s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV02_GET ALL WITHOUT TOKEN,,,,2022-06-30 21:29:14,2022-06-30 21:29:15,1.346s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV02_GET WITHOUT TOKEN""))",,,,2022-06-30 21:29:15,2022-06-30 21:29:15,0.560s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 21:29:15,2022-06-30 21:29:15,0.015s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE,,,,2022-06-30 21:29:15,2022-06-30 21:29:17,1.642s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET ALL VACCINE/TCV01_GET ALL VACCINE""))",,,,2022-06-30 21:29:16,2022-06-30 21:29:17,0.758s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 21:29:17,2022-06-30 21:29:17,0.005s,PASSED
,,,,,,,
Test Cases/API/VACCINE/GET VACCINE BY ID/TCGV02_GET INVALID ID,,,,2022-06-30 21:29:17,2022-06-30 21:29:19,1.582s,PASSED
"Response = sendRequest(findTestObject(""API/VACCINE/GET VACCINE BY ID/TCGV02_GET VACCINE INVALID""))",,,,2022-06-30 21:29:18,2022-06-30 21:29:19,0.630s,PASSED
