Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SCHEDULE,,,,2022-06-30 17:39:42,2022-06-30 17:40:00,17.742s,FAILED
,,,,,,,
Test Cases/API/SCHEDULE/GET ALL SCHEDULE/TCS02_GET WITHOUT TOKEN,,,,2022-06-30 17:39:43,2022-06-30 17:39:46,3.695s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET ALL SCHEDULE/TCS02_GET SCHEDULE WITHOUT TOKEN""))",,,,2022-06-30 17:39:43,2022-06-30 17:39:46,2.986s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:39:46,2022-06-30 17:39:46,0.035s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/GET ALL SCHEDULE/TCS01_GET ALL SCHEDULE,,,,2022-06-30 17:39:46,2022-06-30 17:39:47,1.006s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET ALL SCHEDULE/TCS01_GET VALID SCHEDULE""))",,,,2022-06-30 17:39:47,2022-06-30 17:39:47,0.470s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:39:47,2022-06-30 17:39:47,0.016s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/GET SCHEDULE BY ID/TCGS02_GET INVALID ID,,,,2022-06-30 17:39:47,2022-06-30 17:39:48,1.101s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET SCHEDULE BY ID/TCGS02_GET ID WITH INVALID DATA""))",,,,2022-06-30 17:39:48,2022-06-30 17:39:48,0.451s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:39:48,2022-06-30 17:39:48,0.055s,FAILED
,,,,,,,
Test Cases/API/SCHEDULE/GET SCHEDULE BY ID/TCGS01_GET VALID DATA,,,,2022-06-30 17:39:48,2022-06-30 17:39:50,1.247s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/GET SCHEDULE BY ID/TCGS01_GET ID WITH VALID DATA""))",,,,2022-06-30 17:39:49,2022-06-30 17:39:50,0.709s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:39:50,2022-06-30 17:39:50,0.017s,FAILED
,,,,,,,
Test Cases/API/SCHEDULE/CREATE SCHEDULE/TCNS03_CREATE WITHOUT REQ BODY,,,,2022-06-30 17:39:50,2022-06-30 17:39:51,1.194s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS03_Create without req body""))",,,,2022-06-30 17:39:50,2022-06-30 17:39:51,0.689s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:39:51,2022-06-30 17:39:51,0.000s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/CREATE SCHEDULE/TCNS02_CREATE WITHOUT TOKEN,,,,2022-06-30 17:39:51,2022-06-30 17:39:52,1.122s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS02_Create without token""))",,,,2022-06-30 17:39:51,2022-06-30 17:39:52,0.603s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:39:52,2022-06-30 17:39:52,0.000s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/CREATE SCHEDULE/TCNS01_CREATE NEW SCHEDULE,,,,2022-06-30 17:39:52,2022-06-30 17:39:53,1.106s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/CREATE NEW SCHEDULE/TCNS01_Create with valid data""))",,,,2022-06-30 17:39:53,2022-06-30 17:39:53,0.469s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:39:53,2022-06-30 17:39:53,0.000s,PASSED
"verifyElementPropertyValue(Response, statuscreate, update_success)",,,,2022-06-30 17:39:53,2022-06-30 17:39:53,0.115s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/UPDATE SCHEDULE/TCUS04_UPDATE WITHOUT BODY,,,,2022-06-30 17:39:53,2022-06-30 17:39:54,1.126s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS04_UPDATE WITHOUT BODY""))",,,,2022-06-30 17:39:54,2022-06-30 17:39:54,0.404s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:39:54,2022-06-30 17:39:54,0.000s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/UPDATE SCHEDULE/TCUS03_UPDATE WITHOUT ID,,,,2022-06-30 17:39:54,2022-06-30 17:39:56,1.284s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS03_UPDATE WITHOUT ID""))",,,,2022-06-30 17:39:55,2022-06-30 17:39:56,0.699s,PASSED
"verifyResponseStatusCode(Response, Status_405)",,,,2022-06-30 17:39:56,2022-06-30 17:39:56,0.000s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/UPDATE SCHEDULE/TCUS02_UPDATE WITHOUT TOKEN,,,,2022-06-30 17:39:56,2022-06-30 17:39:56,0.963s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS02_UPDATE WITHOUT TOKEN""))",,,,2022-06-30 17:39:56,2022-06-30 17:39:56,0.439s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:39:56,2022-06-30 17:39:56,0.000s,PASSED
,,,,,,,
Test Cases/API/SCHEDULE/UPDATE SCHEDULE/TCUS01_UPDATE SCHEDULE BY ID,,,,2022-06-30 17:39:56,2022-06-30 17:39:58,1.025s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/UPDATE SCHEDULE BY ID/TCUS01_UPDATE VALID DATA""))",,,,2022-06-30 17:39:57,2022-06-30 17:39:58,0.413s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:39:58,2022-06-30 17:39:58,0.013s,FAILED
,,,,,,,
Test Cases/API/SCHEDULE/DELETE SCHEDULE/TCDS01_DELETE VALID ATA,,,,2022-06-30 17:39:58,2022-06-30 17:39:59,1.174s,FAILED
"Response = sendRequest(findTestObject(""API/SCHEDULE/DELETE SCHEDULE BY ID/TCDS01_DELETE VALID DATA""))",,,,2022-06-30 17:39:58,2022-06-30 17:39:59,0.644s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:39:59,2022-06-30 17:39:59,0.011s,FAILED
,,,,,,,
Test Cases/API/SCHEDULE/DELETE SCHEDULE/TCDS03_DELETE WITHOUT ID,,,,2022-06-30 17:39:59,2022-06-30 17:40:00,1.137s,PASSED
"Response = sendRequest(findTestObject(""API/SCHEDULE/DELETE SCHEDULE BY ID/TCDS03_DELETE WITHOUT ID""))",,,,2022-06-30 17:39:59,2022-06-30 17:40:00,0.637s,PASSED
"verifyResponseStatusCode(Response, Status_405)",,,,2022-06-30 17:40:00,2022-06-30 17:40:00,0.000s,PASSED
