Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_STOCK,,,,2022-06-30 17:16:53,2022-06-30 17:17:12,18.597s,FAILED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST03_CREATE WITHOUT REQ BODY,,,,2022-06-30 17:16:54,2022-06-30 17:16:58,3.918s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST03_CREATE WITHOUT REQUEST BODY""))",,,,2022-06-30 17:16:55,2022-06-30 17:16:58,3.152s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:16:58,2022-06-30 17:16:58,0.040s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST02_CREATE WITHOUT TOKEN,,,,2022-06-30 17:16:58,2022-06-30 17:16:59,1.173s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST02_CREATE WITHOUT TOKEN""))",,,,2022-06-30 17:16:58,2022-06-30 17:16:59,0.645s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:16:59,2022-06-30 17:16:59,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/CREATE STOCK/TCNST01_CREATE VALID STOCK,,,,2022-06-30 17:16:59,2022-06-30 17:17:00,1.123s,FAILED
"Response = sendRequest(findTestObject(""API/STOCK/CREATE NEW STOCK/TCNST01_CREATE STOCK""))",,,,2022-06-30 17:17:00,2022-06-30 17:17:00,0.449s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:17:00,2022-06-30 17:17:00,0.065s,FAILED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST02_GET ALL WITHOUT TOKEN,,,,2022-06-30 17:17:00,2022-06-30 17:17:01,1.181s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST02_GET WITHOUT TOKEN""))",,,,2022-06-30 17:17:01,2022-06-30 17:17:01,0.617s,PASSED
"verifyResponseStatusCode(Response, Status_401)",,,,2022-06-30 17:17:01,2022-06-30 17:17:01,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK,,,,2022-06-30 17:17:01,2022-06-30 17:17:02,0.928s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET ALL STOCK/TCST01_GET ALL STOCK""))",,,,2022-06-30 17:17:02,2022-06-30 17:17:02,0.418s,PASSED
"verifyResponseStatusCode(Response, Status_200)",,,,2022-06-30 17:17:02,2022-06-30 17:17:02,0.000s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST02_GET INVALID ID,,,,2022-06-30 17:17:02,2022-06-30 17:17:03,1.037s,PASSED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST02_GET STOCK INVALID""))",,,,2022-06-30 17:17:03,2022-06-30 17:17:03,0.444s,PASSED
"verifyResponseStatusCode(Response, Status_400)",,,,2022-06-30 17:17:03,2022-06-30 17:17:03,0.015s,PASSED
,,,,,,,
Test Cases/API/STOCK/GET STOCK BY ID/TCGST01_GET VALID ID,,,,2022-06-30 17:17:03,2022-06-30 17:17:05,1.306s,FAILED
"Response = sendRequest(findTestObject(""API/STOCK/GET STOCK BY ID/TCGST01_GET STOCK VALID""))",,,,2022-06-30 17:17:04,2022-06-30 17:17:05,0.668s,PASSED
